Cable ID,Sensor ID,Level,J-Box
DYN1-2,AC.LG-2B2,LG,LG-2B2
DYN1-3,AC.LG-9B2,LG,LG-9B2
DYN1-4,AC.LG-3F3,LG,LG-3F3
DYN1-5,AC.LG-9F3,LG,LG-9F3
DYN1-9,AC.G-2B2,G,G-2B2
DYN1-10,AC.G-9B2,G,G-9B2
DYN1-11,AC.G-3F3,G,G-3F3
DYN1-12,AC.G-9F3,G,G-9F3
DYN1-16,AC.01-2B2,01,01-2B2
DYN1-17,AC.01-9B2,01,01-9B2
DYN1-18,AC.01-3F3,01,01-3F3
DYN1-19,AC.01-9F3,01,01-9F3
DYN1-23,AC.02-2B2,02,02-2B2
DYN1-24,AC.02-9B2,02,02-9B2
DYN1-25,AC.02-3F3,02,02-3F3
DYN1-26,AC.02-9F3,02,02-9F3
DYN1-30,AC.03-2B2,03,03-2B2
DYN1-31,AC.03-9B2,03,03-9B2
DYN1-32,AC.03-3F3,03,03-3F3
DYN1-33,AC.03-9F3,03,03-9F3
